,Legacy Xpaths,Components,Styles,Given Components,Given Styles,Match
813,/book/conceptgroup/concept/collapseBody/conceptpart/number,section,TRContentLevel2,section,TRContentLevel2,TRUE
814,/book/conceptgroup/concept/collapseBody/conbody,section,TRContentLevel1,paragraph,TRNormal,FALSE
815,/book/conceptgroup/concept/collapseBody/conbody/figure,image, ,image,,FALSE
816,/book/conceptgroup/concept/collapseBody/conbody/figure/image,image, ,image,,FALSE
817,/book/conceptgroup/concept/collapseBody/conbody/equation,displayEquation,TRNormal,displayEquation,TRNormal,TRUE
818,/book/conceptgroup/concept/collapseBody/conbody/equation/fraction,displayEquation,TRNormal,displayEquation,TRNormal,TRUE
819,/book/conceptgroup/concept/collapseBody/conbody/equation/fraction/denominator,displayEquation,TRNormal,displayEquation,TRNormal,TRUE
820,/book/conceptgroup/concept/collapseBody/conbody/equation/fraction/numerator,displayEquation,TRNormal,displayEquation,TRNormal,TRUE
821,/book/conceptgroup/concept/collapseBody/conbody/ul,list,TRNormal,list,TRNormal,TRUE
822,/book/conceptgroup/concept/collapseBody/conbody/ul/li,list,TRNormal,list,TRNormal,TRUE
823,/book/conceptgroup/concept/collapseBody/conbody/ul/li/irclink,list,TRNormal,list,TRNormal,TRUE
824,/book/conceptgroup/concept/collapseBody/conbody/ul/li/irclink/marker,list,TRNormal,list,TRNormal,TRUE
825,/book/conceptgroup/concept/collapseBody/conbody/ul/li/xref,list,TRNormal,list,TRNormal,TRUE
826,/book/conceptgroup/concept/collapseBody/conbody/ul/li/xref/marker,list,TRNormal,list,TRNormal,TRUE
827,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn,footnote,Footnote Text,footnote,Footnote Text,TRUE
828,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/case,footnote,Footnote Text,footnote,Footnote Text,TRUE
829,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/case/casepart,footnote,Footnote Text,footnote,Footnote Text,TRUE
830,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/case/casepart/casedisplay,footnote,Footnote Text,footnote,Footnote Text,TRUE
831,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/case/casepart/casedisplay/cslink,footnote,Footnote Text,footnote,Footnote Text,TRUE
832,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/case/casepart/casedisplay/cslink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
833,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/i,footnote,Footnote Text,footnote,Footnote Text,TRUE
834,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/treglink,footnote,Footnote Text,footnote,Footnote Text,TRUE
835,/book/conceptgroup/concept/collapseBody/conbody/ul/li/fn/treglink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
