,Legacy Xpaths,Components,Styles,Given Components,Given Styles,Match
630,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/treglink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
631,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/irclink,footnote,Footnote Text,footnote,Footnote Text,TRUE
632,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/irclink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
633,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/stformlink,footnote,Footnote Text,footnote,Footnote Text,TRUE
634,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/stformlink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
635,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/case,footnote,Footnote Text,footnote,Footnote Text,TRUE
636,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/case/casepart,footnote,Footnote Text,footnote,Footnote Text,TRUE
637,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/case/casepart/casedisplay,footnote,Footnote Text,footnote,Footnote Text,TRUE
638,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/case/casepart/casedisplay/cslink,footnote,Footnote Text,footnote,Footnote Text,TRUE
639,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/case/casepart/casedisplay/cslink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
640,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/i,footnote,Footnote Text,footnote,Footnote Text,TRUE
641,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/strulink,footnote,Footnote Text,footnote,Footnote Text,TRUE
642,/book/conceptgroup/concept/collapseBody/conceptpart/conbody/section/section/p/fn/strulink/marker,footnote,Footnote Text,footnote,Footnote Text,TRUE
